R
Wavelength,AG_APR02_A_PSPQ_405nm_2hr30min(ListNo.:164) Incident angle:0,AG_APR02_A_PSPQ_405nm_2hr30min(ListNo.:165) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:166) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:167) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:168) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:169) Incident angle:0,AG_APR02_E_PSPQ_405nm_2hr30min(ListNo.:170) Incident angle:0,AG_APR02_P_PSPQ_405nm_3hrmin(ListNo.:171) Incident angle:0,AG_APR02_P_PSPQ_405nm_3hrmin(ListNo.:172) Incident angle:0,AG_APR02_P_PSPQ_405nm_3hrmin(ListNo.:173) Incident angle:0,AG_APR02_K_PSPQ_405nm_3hr(ListNo.:174) Incident angle:0,AG_APR02_K_PSPQ_405nm_3hr(ListNo.:175) Incident angle:0,AG_APR02_K_PSPQ_405nm_3hr(ListNo.:176) Incident angle:0
378.686,0.0963957,0.0914164,0.0927131,0.1040980,0.1045130,0.1410018,0.1658463,0.0513229,0.0734444,0.0606590,0.0626300,0.1019715,0.0608146
379.911,0.0838713,0.0829414,0.0950824,0.1088971,0.0978985,0.1402194,0.1728965,0.0542493,0.0695783,0.0632555,0.0605988,0.1131478,0.0557371
381.136,0.0712070,0.0742505,0.0954728,0.1113209,0.0904277,0.1382738,0.1777022,0.0590330,0.0632829,0.0649281,0.0598556,0.1238514,0.0533847
382.361,0.0609502,0.0661017,0.0965348,0.1138371,0.0852798,0.1341632,0.1831865,0.0662697,0.0599143,0.0702453,0.0631620,0.1357870,0.0568906
383.586,0.0535088,0.0595492,0.0967034,0.1137419,0.0792945,0.1295552,0.1862552,0.0739664,0.0566430,0.0771006,0.0689517,0.1471351,0.0638801
384.811,0.0478522,0.0533748,0.0975550,0.1130527,0.0743083,0.1240110,0.1892115,0.0846883,0.0559192,0.0855558,0.0753781,0.1574064,0.0741348
386.037,0.0429592,0.0484661,0.0969610,0.1112615,0.0689366,0.1175468,0.1886458,0.0961537,0.0547514,0.0938472,0.0812765,0.1638793,0.0853706
387.262,0.0401524,0.0443260,0.0978050,0.1093471,0.0653089,0.1106423,0.1868024,0.1091168,0.0560407,0.1037343,0.0877597,0.1686115,0.0965098
388.487,0.0404146,0.0434988,0.0989271,0.1079760,0.0638080,0.1040771,0.1840626,0.1219422,0.0606947,0.1151337,0.0947373,0.1719004,0.1089653
389.712,0.0412959,0.0427230,0.1011439,0.1065846,0.0616318,0.0981411,0.1800491,0.1352152,0.0675184,0.1265339,0.0995979,0.1730030,0.1214202
390.937,0.0418910,0.0421567,0.1026464,0.1049786,0.0593678,0.0924024,0.1732618,0.1483752,0.0743647,0.1370980,0.1014064,0.1687746,0.1303375
392.162,0.0425280,0.0440375,0.1067990,0.1059281,0.0589296,0.0881621,0.1659898,0.1603291,0.0830820,0.1475562,0.1025026,0.1641610,0.1380636
393.388,0.0441529,0.0459016,0.1099598,0.1075408,0.0587249,0.0840217,0.1575517,0.1698213,0.0929689,0.1564151,0.1013332,0.1569980,0.1421637
394.613,0.0453124,0.0482754,0.1142687,0.1104677,0.0593790,0.0819155,0.1501236,0.1778378,0.1050805,0.1650581,0.0978976,0.1484775,0.1467416
395.838,0.0449647,0.0506454,0.1183329,0.1134637,0.0579491,0.0811528,0.1406048,0.1846978,0.1160786,0.1704811,0.0913120,0.1360663,0.1467664
397.063,0.0447108,0.0525175,0.1236053,0.1188444,0.0583133,0.0800773,0.1316781,0.1893999,0.1265328,0.1748216,0.0841285,0.1235461,0.1450144
398.288,0.0432960,0.0551013,0.1272022,0.1236606,0.0577870,0.0807188,0.1228342,0.1900064,0.1354954,0.1769321,0.0761442,0.1106157,0.1411325
399.513,0.0422141,0.0568313,0.1312215,0.1299174,0.0585296,0.0816988,0.1166346,0.1896904,0.1456264,0.1780148,0.0675668,0.0990150,0.1374687
400.738,0.0411968,0.0587943,0.1340861,0.1344946,0.0577573,0.0833992,0.1098268,0.1870355,0.1528462,0.1758486,0.0576001,0.0860703,0.1306923
401.964,0.0403547,0.0601495,0.1369700,0.1400301,0.0579182,0.0848532,0.1044886,0.1835723,0.1596018,0.1727027,0.0493755,0.0747486,0.1227534
403.189,0.0392996,0.0625178,0.1382307,0.1445745,0.0572842,0.0860849,0.0992482,0.1766739,0.1634789,0.1686808,0.0424398,0.0654360,0.1148856
404.414,0.0388619,0.0638739,0.1382774,0.1473842,0.0564114,0.0863878,0.0958424,0.1698033,0.1666096,0.1635424,0.0362373,0.0585616,0.1069729
405.645,0.0388725,0.0654259,0.1367241,0.1479901,0.0560428,0.0864898,0.0938302,0.1621285,0.1668838,0.1563837,0.0327448,0.0538407,0.0989686
406.878,0.0416066,0.0674437,0.1354087,0.1483436,0.0560076,0.0857545,0.0926944,0.1544363,0.1662634,0.1495165,0.0324186,0.0527820,0.0909350
408.112,0.0453122,0.0709135,0.1313956,0.1464996,0.0561055,0.0837470,0.0919407,0.1446898,0.1634136,0.1424850,0.0351112,0.0539995,0.0834179
409.346,0.0487879,0.0746672,0.1273502,0.1427986,0.0556868,0.0813351,0.0909409,0.1356686,0.1592703,0.1352064,0.0400734,0.0580635,0.0775721
410.580,0.0541118,0.0789625,0.1217187,0.1382090,0.0569425,0.0783700,0.0914043,0.1285979,0.1542714,0.1286967,0.0477593,0.0643813,0.0727087
411.813,0.0618365,0.0844024,0.1167371,0.1325300,0.0591338,0.0746987,0.0921198,0.1219472,0.1474763,0.1232497,0.0596874,0.0746011,0.0698143
413.047,0.0709321,0.0900055,0.1109635,0.1249030,0.0606644,0.0708347,0.0921176,0.1167472,0.1406621,0.1186318,0.0730117,0.0858139,0.0680078
414.281,0.0795778,0.0964590,0.1053265,0.1173797,0.0627952,0.0665393,0.0915654,0.1120921,0.1322575,0.1150151,0.0876900,0.0981996,0.0692981
415.515,0.0886985,0.1034261,0.0984614,0.1082908,0.0645413,0.0622422,0.0893316,0.1100568,0.1228851,0.1116562,0.1034261,0.1108898,0.0707389
